Date,Symbol,Open,High,Low,Close,VWAP,Volume,Turnover
05-09-2000,ITC,774.85,783,770,772.35,775.4,388065,3.00907E+13
06-09-2000,ITC,772.9,775.7,758.4,764.5,766.65,480691,3.68522E+13
07-09-2000,ITC,768,774.9,761.5,764,767.21,204912,1.5721E+13
08-09-2000,ITC,764.5,774.8,760,762.7,767.84,360125,2.76519E+13
11-09-2000,ITC,764.9,766.85,757,761.1,760.63,228506,1.7381E+13
12-09-2000,ITC,760,844.9,760,830.15,802.48,2249287,1.80502E+14
13-09-2000,ITC,839.8,858,820,840.3,841.63,1352571,1.13836E+14
14-09-2000,ITC,835.1,844,820.6,823.55,830.79,625425,5.19595E+13
15-09-2000,ITC,829,829.9,800.1,805.2,811.61,557452,4.52435E+13
18-09-2000,ITC,800,804,776.05,779.4,789.61,450243,3.55518E+13
19-09-2000,ITC,775.15,783,750,753.95,764.03,613567,4.68785E+13
20-09-2000,ITC,772,776,759,769.3,768.46,178848,1.37437E+13
21-09-2000,ITC,774,799,767.1,772.3,784.24,545626,4.27901E+13
22-09-2000,ITC,769.1,770,712.6,724.5,738.47,715510,5.28383E+13
25-09-2000,ITC,745,758,718,730.9,735.1,461628,3.39343E+13
26-09-2000,ITC,731.2,744,720.2,731,731.77,489971,3.58544E+13
27-09-2000,ITC,723,743.95,722,733.3,735.41,285847,2.10216E+13
28-09-2000,ITC,733.9,743,702.15,709.7,719.56,583235,4.19672E+13
29-09-2000,ITC,719.85,728,708,713.2,715.64,404298,2.89333E+13
03-10-2000,ITC,712.75,725.95,703,713.35,714.32,330000,2.35724E+13
04-10-2000,ITC,719,728,714.95,723.95,722.62,231468,1.67264E+13
05-10-2000,ITC,726.9,742.2,720.55,723.7,733.06,552201,4.04796E+13
06-10-2000,ITC,727.85,750.6,727.85,739.75,741.06,940795,6.97182E+13
09-10-2000,ITC,738.1,744.5,725,727,734.64,428225,3.1459E+13
10-10-2000,ITC,729.85,733,716.1,720.1,722.6,385043,2.78231E+13
11-10-2000,ITC,715,729,704.8,720.55,718.71,477048,3.42859E+13
12-10-2000,ITC,715.55,752.4,715.05,745.8,740.46,901228,6.6732E+13
13-10-2000,ITC,740,776.1,730,764.7,758.74,1398805,1.06133E+14
16-10-2000,ITC,765,801.65,765,790.1,790.01,1157536,9.14462E+13
17-10-2000,ITC,790,794.9,738.55,753.15,762.23,1138209,8.67578E+13
18-10-2000,ITC,750.15,755,736.05,740.2,742.6,440308,3.26974E+13
19-10-2000,ITC,735,753.8,730.05,747.85,741.98,341190,2.53157E+13
20-10-2000,ITC,755.85,783.5,745.05,748.2,764.57,812173,6.20966E+13
23-10-2000,ITC,745.05,757,742,746.6,748.66,227404,1.70248E+13
24-10-2000,ITC,745.25,762.75,745.25,759.2,756.58,482664,3.65175E+13
25-10-2000,ITC,760,777,751,764.9,767.64,596389,4.57809E+13
26-10-2000,ITC,762.1,773,746.3,767.6,765.51,212727,1.62845E+13
27-10-2000,ITC,767.1,774.5,755.05,756.4,760.42,195351,1.48548E+13
30-10-2000,ITC,762,762,745.05,750.85,751.3,213309,1.60259E+13
31-10-2000,ITC,750.5,766,747.5,759.8,758.67,314225,2.38393E+13
01-11-2000,ITC,767,811,756.05,779.75,777.36,832553,6.47192E+13
02-11-2000,ITC,783.8,825.85,783.8,821.5,811.96,2369217,1.9237E+14
03-11-2000,ITC,825,836.8,806,808.7,817.86,1052839,8.61072E+13
06-11-2000,ITC,806.15,816,803.05,805.1,809.16,611695,4.94961E+13
07-11-2000,ITC,802.05,818.8,802.05,809.4,811.53,635787,5.1596E+13
08-11-2000,ITC,813,823,784.05,788.85,805.96,1697235,1.3679E+14
09-11-2000,ITC,782.25,801.25,767.1,776.5,785.29,1264355,9.92885E+13
10-11-2000,ITC,771.05,775.1,757.05,760.4,765.84,608279,4.65845E+13
13-11-2000,ITC,758,762.9,748,754.2,756.1,389084,2.94187E+13
14-11-2000,ITC,757.8,773,753.5,765.5,766.57,619706,4.75047E+13
15-11-2000,ITC,775.95,785,767.05,769.2,777.19,572009,4.44561E+13
16-11-2000,ITC,768,773.5,755.05,757.3,762.03,433495,3.30337E+13
17-11-2000,ITC,752.9,772.8,752.6,770.6,766.67,605249,4.64024E+13
20-11-2000,ITC,772.8,778,766.6,769,773.57,265022,2.05014E+13
21-11-2000,ITC,768,788.7,763,778.9,779.07,785249,6.11761E+13
22-11-2000,ITC,786.9,797,781.05,783.75,789.87,888811,7.02046E+13
23-11-2000,ITC,778.25,785,775.05,779.6,779.68,319812,2.4935E+13
24-11-2000,ITC,781.9,788,777.05,783.05,782.13,324124,2.53508E+13
27-11-2000,ITC,783.9,792.8,781.1,787.7,787.91,316971,2.49746E+13
28-11-2000,ITC,787,806,787,801.35,798.43,789853,6.3064E+13
29-11-2000,ITC,800.55,854,798,817.15,818.98,2068808,1.69431E+14
30-11-2000,ITC,820,829,815,817.25,821.94,924386,7.59785E+13
01-12-2000,ITC,812,847.4,810,836.85,834.74,2139859,1.78623E+14
04-12-2000,ITC,839,856.25,833,846.15,846.27,1421349,1.20284E+14
05-12-2000,ITC,852,876.3,846.05,868,865.83,1588960,1.37577E+14
06-12-2000,ITC,880,884,855,860.75,863.15,1319024,1.13852E+14
07-12-2000,ITC,858,871,856.1,862.55,864.37,826609,7.14496E+13
08-12-2000,ITC,861.5,869.7,855,857.8,861.78,707220,6.09472E+13
11-12-2000,ITC,858,880.7,852.1,872.7,868.02,1188067,1.03127E+14
12-12-2000,ITC,881.4,910,870.55,903.4,892.71,2656282,2.37128E+14
13-12-2000,ITC,909.9,927,899.9,918.1,915.82,2146674,1.96597E+14
14-12-2000,ITC,925,929.85,903.1,910.3,919.52,1428110,1.31318E+14
15-12-2000,ITC,909,932,886.5,924.5,915.87,3976485,3.64195E+14
18-12-2000,ITC,910.05,936,910.05,922.55,926.47,1624818,1.50534E+14
19-12-2000,ITC,919,929,908,916,920.02,1412901,1.29989E+14
20-12-2000,ITC,900,911.85,883,896.65,899.44,1261659,1.13478E+14
21-12-2000,ITC,890,917,881.1,905.9,903.57,1633834,1.47629E+14
22-12-2000,ITC,918,921,891,895.75,906.11,1133475,1.02705E+14
26-12-2000,ITC,903,905,863.2,868.4,880.8,992333,8.74043E+13
27-12-2000,ITC,867,877,856.6,870.7,868.42,617592,5.36328E+13
28-12-2000,ITC,874.4,898.05,872,892.1,886.42,900241,7.97988E+13
29-12-2000,ITC,897.45,902.9,887.15,896.1,895.7,601939,5.39156E+13
01-01-2001,ITC,899,908,887.4,893.85,899.32,549243,4.93945E+13
02-01-2001,ITC,895.8,910,895.8,907.15,904.07,698842,6.31802E+13
03-01-2001,ITC,904,954.75,900,944.4,935.21,3658087,3.42108E+14
04-01-2001,ITC,949.5,960,921.6,925.5,937.65,1408080,1.32028E+14
05-01-2001,ITC,923,943.2,918.05,936.4,933.28,1663403,1.55243E+14
08-01-2001,ITC,932.25,946,902.6,910.3,925.29,1623772,1.50246E+14
09-01-2001,ITC,910,929,907,917.8,918.61,1054456,9.68636E+13
10-01-2001,ITC,918,930,904.4,909,916.46,840169,7.69983E+13
11-01-2001,ITC,910,912,895,898.95,901.68,730422,6.58604E+13
12-01-2001,ITC,902.4,904.9,869,872.1,883.58,1072330,9.47484E+13
15-01-2001,ITC,875,882,862,866.95,872.19,563826,4.91761E+13
16-01-2001,ITC,869,883.75,862.1,865.15,871.25,727469,6.33809E+13
17-01-2001,ITC,888,892.4,868.15,873.35,880.26,1130430,9.95069E+13
18-01-2001,ITC,876.5,902,870,897.65,887.02,1577187,1.399E+14
19-01-2001,ITC,904.8,926.9,902,915.6,915.36,1420699,1.30045E+14
22-01-2001,ITC,918,924.8,905.65,912.85,913.7,517215,4.72579E+13
23-01-2001,ITC,913,928.8,908,911.55,917.45,976019,8.95451E+13
24-01-2001,ITC,909.4,921.85,900,909.8,911.55,785388,7.15918E+13
25-01-2001,ITC,910,917,892,902.55,906.21,774749,7.02088E+13
29-01-2001,ITC,895,895.9,872.25,883.2,883.25,645155,5.69836E+13
30-01-2001,ITC,886.35,907.9,885.1,904.45,900.11,674987,6.0756E+13
31-01-2001,ITC,910,922.45,901,910.95,913.21,962266,8.78749E+13
01-02-2001,ITC,912,921.95,889.05,893.6,903.11,1210373,1.0931E+14
02-02-2001,ITC,891.1,905,882.4,900.1,898.53,588672,5.28939E+13
05-02-2001,ITC,901,910.9,886.25,892.3,898.26,467804,4.20209E+13
06-02-2001,ITC,892.05,902.4,850,877.65,885.77,636662,5.63934E+13
07-02-2001,ITC,860,862.95,774.3,788.5,813.39,4570060,3.71722E+14
08-02-2001,ITC,796.4,825.7,785.1,817.55,816.88,1913770,1.56333E+14
09-02-2001,ITC,821,824.9,802,812.05,815.05,876245,7.14186E+13
12-02-2001,ITC,810,817,792.6,811.8,805.08,851295,6.85362E+13
13-02-2001,ITC,812,814,795.25,801,806.73,1008505,8.13594E+13
14-02-2001,ITC,799.9,809,793,806.65,801.8,589825,4.72921E+13
15-02-2001,ITC,809.4,823.5,807.05,820.6,817.14,842559,6.88491E+13
16-02-2001,ITC,822,827.9,807.1,812.05,818.23,634852,5.19458E+13
19-02-2001,ITC,812,814,785.1,794.4,795.31,691749,5.50154E+13
20-02-2001,ITC,794.9,794.9,775.5,778.95,781.04,702557,5.48722E+13
21-02-2001,ITC,772,794.05,766,790.1,779.47,1052633,8.20491E+13
22-02-2001,ITC,790,824.95,788,819.6,809.07,2077000,1.68043E+14
23-02-2001,ITC,820,831.95,803,808.55,816.85,1185197,9.68131E+13
26-02-2001,ITC,802,815,791.25,811.4,805.77,792453,6.38532E+13
27-02-2001,ITC,813,831.8,812,828.35,823.23,1612426,1.32739E+14
28-02-2001,ITC,825.05,830,760,776.2,782.45,4135271,3.23564E+14
01-03-2001,ITC,765,780.75,748,758.85,762.73,1760154,1.34251E+14
02-03-2001,ITC,765,778,747,754.15,758.35,1248121,9.46517E+13
05-03-2001,ITC,754.9,761,718.6,736.3,746.98,1757982,1.31317E+14
07-03-2001,ITC,753,757,729,745.15,743.43,741003,5.50886E+13
08-03-2001,ITC,755,802.85,747,796.3,782.56,1088905,8.5213E+13
09-03-2001,ITC,790,802,760,791.45,787.53,603147,4.74998E+13
12-03-2001,ITC,794,795,763.05,764.55,776.82,366604,2.84785E+13
13-03-2001,ITC,751,751,699,702.95,716.38,458669,3.28582E+13
14-03-2001,ITC,690,759,688,752.95,741.68,350446,2.59918E+13
15-03-2001,ITC,750,780.85,749,773.65,768.63,279806,2.15068E+13
16-03-2001,ITC,771,785,769,780.4,777.35,238559,1.85445E+13
19-03-2001,ITC,780,786,771.25,784.35,780.79,147515,1.15178E+13
20-03-2001,ITC,786,790,771.5,784.3,780.09,232392,1.81287E+13
21-03-2001,ITC,776,801.7,771.5,799.25,791.23,352483,2.78896E+13
22-03-2001,ITC,802.8,814,798,809.15,807.86,277231,2.23965E+13
23-03-2001,ITC,814,814,797,809.35,804.94,231462,1.86314E+13
26-03-2001,ITC,802,824.85,802,815.15,816.34,236170,1.92795E+13
27-03-2001,ITC,815,819.1,811.05,815.85,815.9,243311,1.98517E+13
28-03-2001,ITC,817.5,842.5,817,839.2,833.41,461136,3.84313E+13
29-03-2001,ITC,832.25,837.9,809,811.9,821.37,273431,2.24589E+13
30-03-2001,ITC,809,822,808.6,814,815.55,248142,2.02373E+13
02-04-2001,ITC,802.25,819.9,783,814.9,808.44,460657,3.72416E+13
03-04-2001,ITC,812,822,811,817.75,816.74,163713,1.33711E+13
04-04-2001,ITC,815.25,845,807,841.4,831.33,545101,4.5316E+13
06-04-2001,ITC,849,852,833,838.5,841.49,302622,2.54653E+13
09-04-2001,ITC,840,852,836,845.4,845.87,307154,2.59813E+13
10-04-2001,ITC,844.2,856,832,853.7,847.56,387524,3.28452E+13
11-04-2001,ITC,854,856.95,824.1,835,839.88,466440,3.91752E+13
12-04-2001,ITC,830,830.05,805,811.9,815.13,638021,5.20069E+13
16-04-2001,ITC,806.1,825,802.65,823.6,814.97,259295,2.11317E+13
17-04-2001,ITC,820,827,811,820.8,820.1,206874,1.69658E+13
18-04-2001,ITC,819,836,815,832.45,825.9,301832,2.49284E+13
19-04-2001,ITC,838.3,854.7,832,845.6,842.74,556864,4.69289E+13
20-04-2001,ITC,853,873,831.1,867.05,860,694582,5.9734E+13
23-04-2001,ITC,869,883,862.15,878.3,877.03,325399,2.85384E+13
24-04-2001,ITC,879.9,880,860,874.9,871.93,208736,1.82004E+13
25-04-2001,ITC,875.15,875.15,865,870.1,870.88,133686,1.16424E+13
26-04-2001,ITC,877,887,842,851.55,870.82,317963,2.76887E+13
27-04-2001,ITC,835,843.9,812,838.15,829.54,410813,3.40785E+13
30-04-2001,ITC,835,841.9,830,839.2,838.21,106255,8.90643E+12
02-05-2001,ITC,839.85,849.9,832,837.15,840.89,142202,1.19576E+13
03-05-2001,ITC,835,842,833,835.95,836.27,91927,7.68762E+12
04-05-2001,ITC,838.5,838.5,824.3,830.8,829.41,128519,1.06596E+13
07-05-2001,ITC,830,843.5,830,835.45,836,95378,7.97357E+12
08-05-2001,ITC,838,838.5,820,826.25,826.5,118202,9.76936E+12
09-05-2001,ITC,826,845,810.1,833.75,835.35,179229,1.4972E+13
10-05-2001,ITC,834,836.9,810,830.25,827.18,123396,1.02071E+13
11-05-2001,ITC,830,830,802.1,807.45,814.74,173353,1.41238E+13
14-05-2001,ITC,815.3,815.3,760.1,773.9,774.16,414005,3.20508E+13
15-05-2001,ITC,771,778,744.1,770.85,767.52,130826,1.00411E+13
16-05-2001,ITC,773,784.75,752,770.25,776.33,252381,1.95931E+13
17-05-2001,ITC,775,782,758,769.7,772.89,259562,2.00613E+13
18-05-2001,ITC,771,794.75,771,786.05,785.91,427781,3.36199E+13
21-05-2001,ITC,780,789,770,777.45,779.98,197733,1.54228E+13
22-05-2001,ITC,781,784,768.55,771.2,775.92,171593,1.33143E+13
23-05-2001,ITC,774.85,780.75,773,775.35,777.41,124636,9.68928E+12
24-05-2001,ITC,772,778.8,767.05,769.7,773.27,92601,7.16056E+12
25-05-2001,ITC,770,777,762.1,768.65,770.32,126735,9.76269E+12
28-05-2001,ITC,775,778,769,773.3,774.48,113547,8.79394E+12
29-05-2001,ITC,776,794,772.15,777.2,784.39,569807,4.46952E+13
30-05-2001,ITC,799.5,799.5,777,779.95,786.64,813092,6.39611E+13
31-05-2001,ITC,785,803.5,777,796.05,794.64,733861,5.83158E+13
